driverId,year,points
109,1991,4.0
109,1992,0.0
109,1993,5.0
109,1994,1.0
110,1980,0.0
110,1981,1.0
110,1982,5.0
110,1983,15.0
110,1984,3.0
110,1985,3.0
110,1986,0.0
110,1987,4.0
110,1988,3.0
110,1989,4.0
110,1990,0.0
110,1991,9.0
110,1992,8.0
110,1993,0.0
110,1994,4.0
111,1993,0.0
111,1994,0.0
112,1984,0.0
112,1985,0.0
112,1986,1.0
112,1987,3.0
112,1988,0.0
112,1989,1.0
112,1990,0.0
112,1993,2.0
112,1994,0.0
113,1994,0.0
114,1987,0.0
114,1988,0.0
114,1989,0.0
114,1990,0.0
114,1994,0.0
115,1994,0.0
116,1994,0.0
117,1980,5.0
117,1981,43.0
117,1982,34.0
117,1983,57.0
117,1984,71.5
117,1985,76.0
117,1986,74.0
117,1987,46.0
117,1988,105.0
117,1989,81.0
117,1990,73.0
117,1991,34.0
117,1993,99.0
118,1981,0.0
118,1982,0.0
118,1983,9.0
118,1984,23.0
118,1985,5.0
118,1986,0.0
118,1987,3.0
118,1988,17.0
118,1989,7.0
118,1990,3.0
118,1993,4.0
119,1977,1.0
119,1978,11.0
119,1979,2.0
119,1980,7.0
119,1981,10.0
119,1982,21.0
119,1983,13.0
119,1984,8.0
119,1985,0.0
119,1986,2.0
119,1987,6.0
119,1988,8.0
119,1989,40.0
119,1990,23.0
119,1991,53.0
119,1992,56.0
119,1993,20.0
120,1991,0.0
120,1993,2.0
121,1993,7.0
122,1985,3.0
122,1986,0.0
122,1987,1.0
122,1988,17.0
122,1989,0.0
122,1990,6.0
122,1991,1.0
122,1992,3.0
122,1993,0.0
123,1983,0.0
123,1984,5.0
123,1985,11.0
123,1986,0.0
123,1987,16.0
123,1988,27.0
123,1989,37.0
123,1990,34.0
123,1991,0.0
123,1992,2.0
123,1993,0.0
124,1993,0.0
125,1992,0.0
125,1993,0.0
126,1993,0.0
127,1988,5.0
127,1989,4.0
127,1990,1.0
127,1991,0.0
127,1992,0.0
128,1991,0.0
128,1992,0.0
129,1989,1.0
129,1990,0.0
129,1991,0.0
129,1992,0.0
130,1992,0.0
131,1987,0.0
131,1988,0.0
131,1989,4.0
131,1990,2.0
131,1991,10.0
131,1992,1.0
132,1992,0.0
133,1986,0.0
133,1987,0.0
133,1988,0.0
133,1989,4.0
133,1990,2.0
133,1991,0.0
134,1989,0.0
135,1992,0.0
136,1979,0.0
136,1980,0.0
136,1981,0.0
136,1982,0.0
136,1992,0.0
137,1978,0.0
137,1979,3.0
137,1980,54.0
137,1981,50.0
137,1982,20.0
137,1983,59.0
137,1984,29.0
137,1985,21.0
137,1986,69.0
137,1987,76.0
137,1988,22.0
137,1989,12.0
137,1990,44.0
137,1991,26.5
138,1987,7.0
138,1988,1.0
138,1989,3.0
138,1990,3.0
138,1991,2.0
139,1989,2.0
139,1990,0.0
139,1991,1.0
140,1980,0.0
140,1983,0.0
140,1984,3.0
140,1985,26.0
140,1986,23.0
140,1987,30.0
140,1988,0.0
140,1989,6.0
140,1990,0.0
140,1991,0.0
141,1988,0.0
141,1991,1.0
142,1991,0.0
143,1991,0.0
144,1991,0.0
145,1986,0.0
145,1987,0.0
145,1988,12.0
145,1989,32.0
145,1990,21.0
146,1988,0.0
146,1989,0.0
146,1990,0.0
147,1989,0.0
147,1990,0.0
148,1989,0.0
148,1990,0.0
149,1990,0.0
150,1990,0.0
151,1989,0.0
151,1990,0.0
152,1977,0.0
152,1978,0.0
152,1979,0.0
152,1980,4.0
152,1981,7.0
152,1982,2.0
152,1983,1.0
152,1990,0.0
153,2009,0.0
153,2010,5.0
153,2011,26.0
154,2009,0.0
154,2012,96.0
154,2013,132.0
154,2014,8.0
154,2015,51.0
154,2016,29.0
154,2017,28.0
154,2018,37.0
154,2019,8.0
154,2020,2.0
155,2009,3.0
155,2010,32.0
155,2011,30.0
155,2012,60.0
155,2014,0.0
156,1983,0.0
156,1984,0.0
156,1985,0.0
156,1986,0.0
156,1987,7.0
156,1988,5.0
156,1989,2.0
157,1985,0.0
157,1986,1.0
157,1987,0.0
157,1989,3.0
158,1978,0.0
158,1980,0.0
158,1981,10.0
158,1982,15.0
158,1983,22.0
158,1984,3.0
158,1985,0.0
158,1986,0.0
158,1987,8.0
158,1988,6.0
158,1989,6.0
159,1988,0.0
159,1989,1.0
160,1981,0.0
160,1983,0.0
160,1984,2.0
160,1985,0.0
160,1986,0.0
160,1987,0.0
160,1988,0.0
160,1989,0.0
161,1989,0.0
162,1988,0.0
162,1989,0.0
163,1978,0.0
163,1979,17.0
163,1980,29.0
163,1981,11.0
163,1982,28.0
163,1983,49.0
163,1984,27.0
163,1985,3.0
163,1986,14.0
163,1987,1.0
163,1988,0.0
163,1989,2.0
164,1989,0.0
165,1988,0.0
165,1989,0.0
166,1984,0.0
166,1985,4.0
166,1986,3.0
166,1987,4.0
166,1988,0.0
167,1987,0.0
167,1988,0.0
168,1983,0.0
168,1988,0.0
169,1987,0.0
170,1982,0.0
170,1984,9.0
170,1985,0.0
170,1986,2.0
170,1987,12.0
171,1987,0.0
172,1974,0.0
172,1975,6.0
172,1976,20.0
172,1977,18.0
172,1978,19.0
172,1979,36.0
172,1980,34.0
172,1981,44.0
172,1982,5.0
172,1983,11.0
172,1984,5.0
172,1985,16.0
172,1986,14.0
173,1979,3.0
173,1980,13.0
173,1981,14.0
173,1982,23.0
173,1983,2.0
173,1984,34.0
173,1985,33.0
173,1986,0.0
174,1986,3.0
175,1977,5.0
175,1978,8.0
175,1979,0.0
175,1981,1.0
175,1982,25.0
175,1983,40.0
175,1984,11.0
175,1985,11.0
175,1986,2.0
176,1979,0.0
176,1980,0.0
176,1981,4.0
176,1982,3.0
176,1983,4.0
176,1984,1.0
176,1985,5.0
176,1986,0.0
177,1978,0.0
177,1979,0.0
177,1980,6.0
177,1981,0.0
177,1982,44.0
177,1983,27.0
177,1984,20.5
177,1985,40.0
177,1986,22.0
178,1975,2.0
178,1976,7.0
178,1977,22.0
178,1978,11.0
178,1979,43.0
178,1980,71.0
178,1981,46.0
178,1983,0.0
178,1985,0.0
178,1986,4.0
179,1984,0.0
179,1985,0.0
179,1986,0.0
180,1986,0.0
181,1980,0.0
181,1982,2.0
181,1983,0.0
181,1984,0.0
181,1985,0.0
182,1971,0.0
182,1972,0.0
182,1973,2.0
182,1974,38.0
182,1975,64.5
182,1976,68.0
182,1977,72.0
182,1978,44.0
182,1979,4.0
182,1982,30.0
182,1983,12.0
182,1984,72.0
182,1985,14.0
183,1984,0.0
183,1985,0.0
184,1982,2.0
184,1983,3.0
184,1984,0.0
184,1985,0.0
185,1984,0.0
185,1985,4.0
186,1983,0.0
186,1985,0.0
187,1973,0.0
187,1974,6.0
187,1975,0.0
187,1976,20.0
187,1977,9.0
187,1978,25.0
187,1979,15.0
187,1980,6.0
187,1981,27.0
187,1982,39.0
187,1983,22.0
187,1985,0.0
188,1983,1.0
188,1984,0.0
189,1984,0.0
190,1983,0.0
190,1984,0.0
191,1980,0.0
191,1984,0.0
192,1981,0.0
192,1982,1.0
192,1983,0.0
193,1983,2.0
194,1981,1.0
194,1982,2.0
194,1983,0.0
195,1982,0.0
195,1983,0.0
196,1982,0.0
196,1983,0.0
197,1971,0.0
197,1973,0.0
197,1974,6.0
197,1975,1.5
197,1976,0.0
197,1977,1.0
197,1978,0.0
197,1979,14.0
197,1980,6.0
197,1981,0.0
197,1982,3.0
197,1983,0.0
198,1981,0.0
198,1983,0.0
199,1972,3.0
199,1973,16.0
199,1974,32.0
199,1975,37.0
199,1976,3.0
199,1977,42.0
199,1978,48.0
199,1979,25.0
199,1980,49.0
199,1981,49.0
199,1982,6.0
200,1973,0.0
200,1974,0.0
200,1975,20.0
200,1976,19.0
200,1977,25.0
200,1978,0.0
200,1979,3.0
200,1980,4.0
200,1982,0.0
201,1981,1.0
201,1982,0.0
202,1978,7.0
202,1979,14.0
202,1980,32.0
202,1981,9.0
202,1982,39.0
203,1977,0.0
203,1978,17.0
203,1979,53.0
203,1980,6.0
203,1981,25.0
203,1982,6.0
204,1982,0.0
205,1975,0.0
205,1977,0.0
205,1981,0.0
205,1982,0.0
206,1978,1.0
206,1979,0.0
206,1980,6.0
206,1981,0.0
206,1982,8.0
207,1968,0.0
207,1969,0.0
207,1970,4.0
207,1971,12.0
207,1972,4.0
207,1974,0.0
207,1975,5.0
207,1976,22.0
207,1977,47.0
207,1978,64.0
207,1979,14.0
207,1980,1.0
207,1981,3.0
207,1982,4.0
208,1976,0.0
208,1977,0.0
208,1978,0.0
208,1982,0.0
209,1978,0.0
209,1979,0.0
209,1980,0.0
209,1982,0.0
210,1982,0.0
211,1977,0.0
211,1978,0.0
211,1980,0.0
211,1982,0.0
212,1977,0.0
212,1978,1.0
212,1979,0.0
212,1980,1.0
212,1981,11.0
213,1978,0.0
213,1981,0.0
214,1980,0.0
214,1981,0.0
215,1981,0.0
216,1981,0.0
217,1979,0.0
217,1980,0.0
217,1981,0.0
218,1981,0.0
219,1974,0.0
219,1975,0.0
219,1977,0.0
219,1978,3.0
219,1979,9.0
219,1980,9.0
219,1981,0.0
220,1977,0.0
220,1981,0.0
221,1972,0.0
221,1974,14.0
221,1975,12.0
221,1976,39.0
221,1977,20.0
221,1978,34.0
221,1979,22.0
221,1980,0.0
222,1972,0.0
222,1973,0.0
222,1974,45.0
222,1975,20.0
222,1976,49.0
222,1977,55.0
222,1978,24.0
222,1979,60.0
222,1980,2.0
223,1970,33.0
223,1971,13.0
223,1972,15.0
223,1973,2.0
223,1974,52.0
223,1975,25.0
223,1976,31.0
223,1977,5.0
223,1978,4.0
223,1979,32.0
223,1980,0.0
224,1970,12.0
224,1971,16.0
224,1972,61.0
224,1973,55.0
224,1974,55.0
224,1975,45.0
224,1976,3.0
224,1977,11.0
224,1978,17.0
224,1979,1.0
224,1980,5.0
225,1980,0.0
226,1980,0.0
227,1980,0.0
228,1980,0.0
229,1975,0.0
229,1976,0.0
229,1977,0.0
229,1978,0.0
229,1980,0.0
230,1974,1.0
230,1975,6.5
230,1976,1.0
230,1977,6.0
230,1978,1.0
230,1979,0.0
230,1980,0.0
231,1973,14.0
231,1974,15.0
231,1975,33.0
231,1976,69.0
231,1977,40.0
231,1978,8.0
231,1979,0.0
232,1972,1.0
232,1973,6.0
232,1974,4.0
232,1975,0.0
232,1976,0.0
232,1977,0.0
232,1978,0.0
232,1979,0.0
233,1974,5.0
233,1975,0.0
233,1976,8.0
233,1977,12.0
233,1978,2.0
233,1979,2.0
234,1979,0.0
235,1967,1.0
235,1968,27.0
235,1969,37.0
235,1970,40.0
235,1971,19.0
235,1972,27.0
235,1973,12.0
235,1974,12.0
235,1975,3.0
235,1976,0.0
235,1977,0.0
235,1978,0.0
235,1979,3.0
236,1979,0.0
237,1976,0.0
237,1977,0.0
237,1979,0.0
238,1970,0.0
238,1971,33.0
238,1972,12.0
238,1973,52.0
238,1974,35.0
238,1975,6.0
238,1976,10.0
238,1977,7.0
238,1978,51.0
239,1975,0.0
239,1976,0.0
239,1977,0.0
239,1978,0.0
240,1977,0.0
240,1978,0.0
241,1977,0.0
241,1978,0.0
242,1976,0.0
242,1978,0.0
243,1970,10.0
243,1971,3.0
243,1972,0.0
243,1973,0.0
243,1974,0.0
243,1975,0.0
243,1976,1.0
243,1978,0.0
244,1978,0.0
245,1975,0.0
245,1976,0.0
245,1977,0.0
245,1978,0.0
246,1976,0.0
246,1977,0.0
246,1978,0.0
247,1977,0.0
247,1978,0.0
248,1978,0.0
249,1978,0.0
250,1972,3.0
250,1973,7.0
250,1974,11.0
250,1975,24.0
250,1976,7.0
250,1977,6.0
251,1974,0.0
251,1975,0.0
251,1976,0.0
251,1977,0.0
252,1974,1.0
252,1975,8.0
252,1976,10.0
252,1977,0.0
253,1976,0.0
253,1977,0.0
254,1975,0.0
254,1976,0.0
254,1977,1.0
255,1976,11.0
255,1977,20.0
256,1974,0.0
256,1976,0.0
256,1977,0.0
257,1976,0.0
257,1977,0.0
258,1976,0.0
258,1977,0.0
259,1973,0.0
259,1974,0.0
259,1977,0.0
260,1976,0.0
260,1977,0.0
261,1977,0.0
262,1967,0.0
262,1968,6.0
262,1969,1.0
262,1970,2.0
262,1971,0.0
262,1972,0.0
262,1973,4.0
262,1977,0.0
263,1977,0.0
264,1977,0.0
265,1974,0.0
265,1976,0.0
265,1977,0.0
266,1977,0.0
267,1974,0.0
267,1975,0.0
267,1977,0.0
268,1977,0.0
269,1974,0.0
269,1977,0.0
270,1974,0.0
270,1975,0.0
270,1976,0.0
270,1977,0.0
271,1976,0.0
271,1977,0.0
272,1977,0.0
273,1976,0.0
273,1977,0.0
274,1976,0.0
274,1977,0.0
275,1974,0.0
275,1975,0.5
275,1976,0.0
276,1975,0.0
276,1976,0.0
277,1975,0.0
277,1976,0.0
278,1963,0.0
278,1964,2.0
278,1965,0.0
278,1966,0.0
278,1967,20.0
278,1968,10.0
278,1969,4.0
278,1970,23.0
278,1971,9.0
278,1972,12.0
278,1973,1.0
278,1974,0.0
278,1975,0.0
278,1976,2.0
279,1976,0.0
280,1968,0.0
280,1970,8.0
280,1971,4.0
280,1972,0.0
280,1973,0.0
280,1974,0.0
280,1976,0.0
281,1976,0.0
282,1975,0.0
282,1976,0.0
283,1974,0.0
283,1975,0.0
283,1976,0.0
284,1976,0.0
285,1976,0.0
286,1976,0.0
287,1976,0.0
288,1971,4.0
288,1974,0.0
288,1975,4.0
289,1958,0.0
289,1959,0.0
289,1960,4.0
289,1961,3.0
289,1962,52.0
289,1963,29.0
289,1964,41.0
289,1965,47.0
289,1966,17.0
289,1967,15.0
289,1968,48.0
289,1969,19.0
289,1970,7.0
289,1971,2.0
289,1972,4.0
289,1973,0.0
289,1974,1.0
289,1975,0.0
290,1972,0.0
290,1973,3.0
290,1975,0.0
291,1975,0.0
292,1973,0.0
